model,tracker,elapsed_s,unique_ids,cell_mae,sum_mae,class_relative_error,route_relative_error,total_gt,total_pred,total_err,total_abs_pct_err,perfect_routes
YOLO26m_final.pt,night_botsort_conservative,532.0750935077667,233,0.2857142857142857,0.3333333333333333,8.955223880597014,3.686274509803922,134,132,-2,1.4925373134328357,4
YOLO26m_final.pt,bytetrack,559.5038747787476,249,0.30952380952380953,0.8333333333333334,9.701492537313433,4.098039215686274,134,129,-5,3.731343283582089,4
YOLO26m_final.pt,botsort,703.7174670696259,245,0.38095238095238093,1.0,11.940298507462686,5.019607843137255,134,128,-6,4.477611940298507,4
YOLO26n_final.pt,night_botsort_conservative,412.56312894821167,157,0.2619047619047619,1.1666666666666667,8.208955223880597,22.921568627450977,134,131,-3,2.2388059701492535,3
YOLO26n_final.pt,bytetrack,401.70513010025024,189,0.30952380952380953,1.5,9.701492537313433,33.25490196078431,134,129,-5,3.731343283582089,2
YOLO26n_final.pt,botsort,589.1759123802185,176,0.30952380952380953,1.5,9.701492537313433,23.58823529411765,134,129,-5,3.731343283582089,3
