model,tracker,gt_persons,predicted_persons,error,pct_error
YOLO26n_final.pt,bytetrack,0,0,0,
YOLO26n_final.pt,botsort,0,0,0,
YOLO26n_final.pt,night_botsort_conservative,0,0,0,
YOLO26m_final.pt,bytetrack,0,0,0,
YOLO26m_final.pt,botsort,0,0,0,
YOLO26m_final.pt,night_botsort_conservative,0,0,0,
