model,tracker,elapsed_s,unique_ids,cell_mae,sum_mae,class_relative_error,route_relative_error,total_gt,total_pred,total_err,total_abs_pct_err,perfect_routes
YOLO26m_final.pt,day_botsort,545.1804008483887,264,0.047619047619047616,0.0,0.8403361344537815,0.3968253968253968,238,238,0,0.0,5
YOLO26m_final.pt,bytetrack,378.86037278175354,322,0.14285714285714285,0.0,2.5210084033613445,1.0267510267510267,238,238,0,0.0,4
YOLO26m_final.pt,botsort,603.0601243972778,261,0.14285714285714285,0.0,2.5210084033613445,1.0267510267510267,238,238,0,0.0,4
YOLO26n_final.pt,bytetrack,316.93631649017334,352,0.16666666666666666,0.5,2.941176470588235,17.775280275280274,238,239,1,0.42016806722689076,3
YOLO26n_final.pt,botsort,535.9296967983246,284,0.21428571428571427,0.5,3.7815126050420167,18.008380508380508,238,239,1,0.42016806722689076,3
YOLO26n_final.pt,day_botsort,480.5584955215454,297,0.30952380952380953,0.8333333333333334,5.46218487394958,18.556443556443554,238,243,5,2.100840336134454,3
